RegionID	NumReads	NumCpGs	VC_maxdist	VC_skip	Sig_maxdist	Sig_skip	CramersV_maxdist	CramersV_skip	PermanovaP_maxdist	PermanovaP_skip	PermanovaValid_maxdist	PermanovaValid_skip
429	134	42	Weak	Strong	False	True	0	0.6993	1	0.01	False	True
430	113	36	Strong	Weak	False	False	0	0	0.01	1	True	False
431	119	60	Weak	Strong	False	False	0	0	1	0.01	False	True
432	132	39	Noise	Subclone	False	False	0	0	1	0.01	False	True
433	136	38	Weak	Strong	False	False	0	0	1	0.01	False	True
438	133	57	Weak	Strong	False	False	0	0	1	0.01	False	True
439	116	101	Weak	Strong	False	False	0	0	1	0.01	False	True
440	123	52	Weak	Strong	False	False	0	0	1	0.01	False	True
443	103	24	Weak	Strong	False	False	0	0	1	0.01	False	True
444	115	46	Weak	Strong	False	False	0	0	1	0.01	False	True
445	122	67	Weak	Strong	False	False	0	0	1	0.01	False	True
446	122	54	Strong	Strong	True	False	0.3063	0	0.01	0.01	True	True
447	136	48	Weak	Strong	False	False	0	0	1	0.01	False	True
448	133	67	Noise	Strong	False	True	0	0.3346	1	0.01	False	True
450	118	70	Weak	Strong	False	False	0	0	1	0.01	False	True
451	130	70	Weak	Strong	False	True	0	0.3663	1	0.01	False	True
452	119	46	Weak	Strong	False	True	0	0.9665	1	0.01	False	True
453	129	49	Weak	Strong	False	False	0	0	1	0.01	False	True
454	124	67	Weak	Strong	False	False	0	0	0.01	0.01	True	True
455	128	43	Weak	Strong	False	False	0	0	1	0.01	False	True
457	131	50	Weak	Noise	False	False	0	0	0.01	1	True	False
459	98	39	Weak	Noise	False	False	0	0	1	1	False	False
460	128	53	Weak	Strong	False	False	0	0	1	0.01	False	True
461	105	158	Weak	Strong	False	False	0	0	1	0.01	False	True
465	181	139	Noise	Weak	False	False	0	0	1	1	False	False
467	149	80	Weak	Noise	False	False	0	0	1	1	False	False
468	156	79	Weak	Noise	False	False	0	0	1	1	False	False
469	142	67	Weak	Strong	False	True	0	0.5394	0.01	0.01	True	True
471	115	66	Strong	Weak	False	False	0	0	0.01	1	True	False
474	119	182	Noise	Weak	False	False	0	0	1	1	False	False
476	132	159	Strong	Weak	False	False	0	0	0.01	1	True	False
478	88	114	Weak	Strong	False	False	0	0	1	0.01	False	True
483	117	139	Weak	Noise	False	False	0	0	1	1	False	False
485	103	147	Weak	Noise	False	False	0	0	1	0.01	False	True
489	104	113	Weak	Strong	False	True	0	0.5356	1	0.01	False	True
490	102	108	Weak	Strong	False	False	0	0	1	0.01	False	True
491	81	127	Weak	Strong	False	False	0	0	1	0.01	False	True
492	113	125	Weak	Strong	False	True	0	0.9386	1	0.01	False	True
494	92	229	Weak	Strong	False	False	0	0	1	0.01	False	True
496	104	118	Weak	Strong	False	False	0	0	1	0.01	False	True
498	100	378	Weak	Strong	False	False	0	0	1	0.01	False	True
499	123	133	Weak	Strong	False	False	0	0	1	0.01	False	True
500	128	239	Weak	Strong	False	False	0	0	1	0.01	False	True
501	99	160	Weak	Strong	False	True	0	0.9687	1	0.01	False	True
502	109	87	Weak	Strong	False	True	0	0.5155	1	0.01	False	True
504	87	149	Strong	Strong	False	True	0	0.4629	0.01	0.01	True	True
505	89	134	Strong	Strong	False	True	0	0.4615	0.01	0.01	True	True
506	96	118	Weak	Strong	False	True	0	0.4856	1	0.01	False	True
508	102	87	Weak	Strong	False	True	0	1	1	0.01	False	True
509	121	89	Weak	Strong	False	False	0	0	1	0.01	False	True
510	116	96	Weak	Strong	False	False	0	0	1	0.01	False	True
511	106	48	Weak	Strong	False	True	0	0.5955	1	0.01	False	True
513	102	32	Strong	Strong	False	True	0	0.5591	0.01	0.01	True	True
514	116	82	Strong	Strong	True	False	0.5911	0	0.01	0.01	True	True
515	116	44	Weak	Strong	False	False	0	0	1	0.01	False	True
516	105	48	Strong	Strong	False	True	0	0.6294	0.01	0.01	True	True
517	105	84	Strong	Strong	False	True	0	0.4496	0.01	0.01	True	True
518	97	56	Weak	Strong	False	False	0	0	1	0.01	False	True
519	121	98	Weak	Strong	False	True	0	0.635	1	0.01	False	True
520	99	73	Weak	Strong	False	False	0	0	0.01	0.01	True	True
522	121	39	Strong	Strong	False	True	0	0.5223	0.01	0.01	True	True
523	121	38	Strong	Strong	False	True	0	0.4997	0.01	0.01	True	True
524	121	53	Weak	Strong	False	True	0	0.5466	1	0.01	False	True
525	98	57	Weak	Strong	False	True	0	1	1	0.01	False	True
527	113	48	Weak	Strong	False	False	0	0	1	0.01	False	True
528	110	53	Weak	Strong	False	True	0	0.4776	1	0.01	False	True
529	86	48	Weak	Strong	False	False	0	0	0.01	0.01	True	True
530	93	74	Weak	Strong	False	False	0	0	1	0.01	False	True
531	86	64	Weak	Strong	False	False	0	0	1	0.01	False	True
532	82	59	Weak	Strong	False	False	0	0	0.01	0.01	True	True
533	98	65	Weak	Strong	False	False	0	0	1	0.01	False	True
534	98	70	Weak	Strong	False	False	0	0	1	0.01	False	True
535	102	55	Weak	Strong	False	False	0	0	1	0.01	False	True
536	108	51	Weak	Strong	False	True	0	0.4347	0.01	0.01	True	True
537	95	52	Weak	Strong	False	True	0	0.6216	0.01	0.01	True	True
538	90	89	Weak	Strong	False	True	0	0.9555	1	0.01	False	True
539	103	90	Weak	Strong	False	True	0	0.5735	1	0.01	False	True
540	80	77	Weak	Strong	False	False	0	0	0.01	0.01	True	True
542	88	62	Weak	Strong	False	False	0	0	1	0.01	False	True
543	113	77	Weak	Strong	False	False	0	0	1	0.01	False	True
545	85	103	Weak	Strong	False	False	0	0	0.01	0.01	True	True
546	81	94	Weak	Strong	False	False	0	0	0.01	0.01	True	True
547	79	67	Weak	Strong	False	False	0	0	0.01	0.01	True	True
548	83	42	Weak	Strong	False	True	0	1	1	0.01	False	True
551	108	62	Weak	Strong	False	True	0	0.6476	1	0.01	False	True
552	98	46	Weak	Strong	False	True	0	0.5551	1	0.01	False	True
553	117	69	Weak	Strong	False	False	0	0	1	0.01	False	True
555	96	68	Weak	Strong	False	False	0	0	1	0.01	False	True
556	94	49	Weak	Strong	False	False	0	0	1	0.01	False	True
557	108	56	Weak	Strong	False	False	0	0	1	0.01	False	True
558	98	83	Weak	Strong	False	True	0	0.9199	1	0.01	False	True
560	104	70	Weak	Strong	False	False	0	0	1	0.01	False	True
562	90	67	Weak	Strong	False	True	0	0.5155	1	0.01	False	True
565	75	44	Weak	Strong	False	True	0	0.7947	1	0.01	False	True
566	90	48	Weak	Strong	False	True	0	0.5872	1	0.01	False	True
567	87	59	Weak	Strong	False	True	0	0.5983	1	0.01	False	True
568	115	55	Weak	Strong	False	True	0	0.7415	1	0.01	False	True
569	112	55	Weak	Strong	False	True	0	0.7387	1	0.01	False	True
570	113	83	Strong	Strong	False	True	0	0.6953	0.01	0.01	True	True
571	102	60	Weak	Strong	False	True	0	0.3784	1	0.01	False	True
572	109	49	Weak	Strong	False	True	0	0.4001	1	0.01	False	True
573	111	61	Weak	Strong	False	True	0	0.6462	1	0.01	False	True
574	101	116	Weak	Strong	False	True	0	0.6586	1	0.01	False	True
575	89	112	Weak	Strong	False	True	0	0.5064	1	0.01	False	True
576	102	97	Weak	Strong	False	True	0	0.559	1	0.01	False	True
577	88	99	Strong	Strong	False	True	0	0.5092	0.01	0.01	True	True
578	113	91	Weak	Strong	False	True	0	0.5529	1	0.01	False	True
579	99	67	Weak	Strong	False	True	0	0.3944	1	0.01	False	True
580	108	66	Weak	Strong	False	True	0	0.5655	1	0.01	False	True
581	96	115	Weak	Strong	False	True	0	0.482	1	0.01	False	True
582	119	107	Weak	Strong	False	False	0	0	1	0.01	False	True
583	102	100	Strong	Weak	False	False	0	0	0.01	1	True	False
585	99	66	Weak	Noise	False	False	0	0	1	1	False	False
587	93	84	Strong	Weak	False	False	0	0	0.01	1	True	False
589	84	116	Strong	Strong	False	True	0	0.4817	0.01	0.01	True	True
590	125	244	Noise	Subclone	False	True	0	0.3998	1	0.01	False	True
591	103	71	Strong	Weak	False	False	0	0	0.01	1	True	False
592	104	56	Weak	Strong	False	False	0	0	1	0.01	False	True
593	101	94	Weak	Strong	False	True	0	0.501	1	0.01	False	True
594	88	105	Weak	Strong	False	False	0	0	0.01	0.01	True	True
596	91	55	Weak	Subclone	False	False	0	0	0.01	0.01	True	True
597	89	61	Strong	Strong	False	True	0	0.4353	0.01	0.01	True	True
